driverId,week,hours-logged,miles-logged
28,19,63,1200
17,48,59,500
70,18,62,600
68,10,62,3000
94,44,73,2300
46,46,74,3500
93,46,70,2700
19,3,51,400
35,4,70,1800
46,8,78,3000
99,10,69,3100
52,23,69,700
92,9,80,2600
106,46,78,3500
54,19,67,2800
30,12,69,2600
101,18,50,2800
50,38,76,400
85,34,56,200
39,44,50,1000
104,42,63,3700
71,48,65,1900
45,36,78,2000
103,19,58,2800
74,48,62,700
27,39,76,1100
46,18,52,500
13,39,77,700
10,15,79,4000
95,51,67,3200
35,16,77,3000
53,5,50,3900
73,12,53,2600
72,33,67,1000
92,25,54,2600
43,23,53,1500
27,47,53,2800
100,19,59,0
40,47,68,2800
109,52,77,3100
40,19,50,2800
32,33,75,2600
17,44,77,200
68,45,74,2400
36,2,55,2500
36,36,79,400
66,31,59,2200
100,31,53,100
95,14,76,1700
108,14,77,3900
36,37,59,400
30,2,79,900
17,13,77,300
35,42,80,3300
74,46,78,1300
109,46,77,400
46,44,71,2000
26,1,77,700
18,39,55,3700
52,8,73,200
77,27,71,600
12,9,54,3000
65,9,76,3800
21,5,60,2600
92,16,76,2600
40,11,51,3100
69,42,60,3800
31,17,50,3500
23,35,74,3200
75,33,61,100
51,40,62,1300
33,28,59,600
70,23,50,2300
73,24,64,1600
65,12,72,2700
30,16,54,1300
41,19,50,3500
23,2,70,200
60,45,64,1600
11,22,79,1500
43,39,50,900
29,36,52,2400
36,20,78,2200
74,46,53,1500
98,25,74,3100
22,50,78,1600
27,14,79,1600
50,42,65,1100
36,35,59,600
41,29,68,3600
69,29,50,3100
80,24,57,2500
28,42,59,3700
109,41,63,2700
39,16,74,400
83,41,65,1200
80,3,54,2900
24,5,51,1700
105,36,67,4000
96,37,62,2500
83,42,74,1600
107,6,74,1200
99,2,54,900
82,1,54,3900
13,52,72,3500
91,50,65,3800
19,9,60,1500
34,52,66,3100
34,16,76,1900
91,35,50,1100
45,33,78,1400
69,15,58,300
